Parent Tree Number,Vegetation Code,Parent Tree Reg Status Code,Local Number,Active Ind,Tested Ind,Breeding Program Ind,Selection Date,BC Source Ind,Client Number,Client Locn Code,Natural Selection Type Code,Geographic Location,Latitude Degrees,Latitude Minutes,Latitude Seconds,Longitude Degrees,Longitude Minutes,Longitude Seconds,Seed Plan Zone Code,Elevation, Selection Age,BGC Zone Code,BGC Subzone Code,BGC Variant,Breeding Selection Type Code,Female Parent Parent Tree Number,Male Parent Parent Tree Number,Parent Tree Comment
"27","PLI","APP","SCA3","N","N","N","1970-06-24","Y","00005581","00","PT","PARSNIP R","55","56","0","123","46","0","FIN","701","77","SBS","","","","","",""
"28","PLI","APP","SCA4","N","N","N","1970-06-24","Y","00005581","00","PT","PARSNIP R","55","50","0","123","41","0","FIN","723","181","SBS","","","","","",""
"29","PLI","APP","SCA5","N","N","N","1970-06-26","Y","00005581","00","PT","MI75 ALAU","56","33","0","121","16","0","HH","823","108","SBS","","","","","",""
"30","PLI","APP","SCA7","N","N","N","1970-06-30","Y","00005581","00","PT","WONOWON","56","44","0","121","47","0","HH","914","116","SBS","","","","","",""
"31","PLI","APP","SCA9","N","N","N","1970-06-30","Y","00005581","00","PT","MI131 ALA","56","59","0","122","16","0","HH","1067","99","SBS","","","","","",""
"32","PLI","APP","SCA10","N","N","N","1970-07-01","Y","00005581","00","PT","MI138 ALA","57","0","0","122","25","0","HH","1128","115","SBS","","","","","",""
"33","PLI","APP","SCA13","N","N","N","1970-07-02","Y","00005581","00","PT","MI160 ALA","57","14","0","122","41","0","FN","945","60","SBS","","","","","",""
"34","PLI","APP","SCA14","N","N","N","1970-07-03","Y","00005581","00","PT","MI191 ALA","57","36","0","122","57","0","FN","1250","89","SBS","","","","","",""
"35","PLI","APP","SCA15","N","N","N","1970-07-03","Y","00005581","00","PT","MI194 ALA","57","38","0","122","59","0","FN","1097","77","SBS","","","","","",""
"36","PLI","APP","SCA16","N","N","N","1970-10-14","Y","00005581","00","PT","MI214 ALA","57","52","0","122","53","0","FN","792","33","SBS","","","","","",""
"37","PLI","APP","SCA19","N","N","N","1970-07-07","Y","00005581","00","PT","MI343 ALA","58","45","0","123","37","0","FN","549","113","SBS","","","","","",""
"38","PLI","APP","SCA20","N","N","N","1970-07-08","Y","00005581","00","PT","MI347 ALA","58","43","0","123","40","0","FN","610","93","SBS","","","","","",""
"39","PLI","APP","SCA21","N","N","N","1970-07-08","Y","00005581","00","PT","MI347 ALA","58","43","0","123","39","0","FN","617","115","SBS","","","","","",""
"40","PLI","APP","SCA22","N","N","N","1970-07-08","Y","00005581","00","PT","MI348 ALA","58","42","0","123","40","0","FN","640","93","SBS","","","","","",""
"41","PLI","APP","SCA23","N","N","N","1970-07-09","Y","00005581","00","PT","MI349 ALA","58","42","0","123","40","0","FN","701","89","SBS","","","","","",""
"42","PLI","APP","SCA24","N","N","N","1970-07-11","Y","00005581","00","PT","MI359 ALA","58","40","0","123","50","0","FN","853","78","SBS","","","","","",""
"43","PLI","APP","SCA26","N","N","N","1970-07-11","Y","00005581","00","PT","MI361 ALA","58","40","0","123","52","0","FN","860","84","SBS","","","","","",""
"44","PLI","APP","SCA28","N","N","N","1970-07-12","Y","00005581","00","PT","MI371 ALA","58","39","0","124","9","0","FN","739","59","SBS","","","","","",""
"45","PLI","APP","SCA29","N","N","N","1970-07-13","Y","00005581","00","PT","MI373 ALA","58","39","0","124","9","0","FN","739","60","SBS","","","","","",""
"46","PLI","APP","SCA30","N","N","N","1970-07-13","Y","00005581","00","PT","MI380 ALA","58","39","0","124","19","0","FN","891","55","SBS","","","","","",""
"47","PLI","APP","SCA31","N","N","N","1970-07-13","Y","00005581","00","PT","MI385 ALA","58","40","0","124","29","0","FN","1006","59","SBS","","","","","",""
"48","PLI","APP","SCA33","N","N","N","1970-07-14","Y","00005581","00","PT","MI396 ALA","58","39","0","124","46","0","FN","1219","94","SBS","","","","","",""
"49","PLI","APP","SCA34","N","N","N","1970-07-14","Y","00005581","00","PT","MI388 ALA","58","39","0","124","34","0","FN","1128","56","SBS","","","","","",""
