"Orchard","Clone","X","Y","receptive20","pollenshed20","receptive80","pollenshed80","pickdate","total_cone_weight_kg","thirty_cone_weight_g","Site"
"230","1460","N","18",2007-05-06,2007-05-04,2007-05-09,2007-05-09,2007-07-27,5.91,217.92,"Kalamalka"
"230","1467","J","5",2007-05-06,2007-05-06,2007-05-09,2007-05-11,2007-07-27,5.04,232.75,"Kalamalka"
"230","1536","F","44",2007-05-06,2007-05-06,2007-05-09,2007-05-11,2007-07-23,4.94,214.22,"Kalamalka"
"230","3044","V","53",2007-05-11,2007-05-09,2007-05-14,2007-05-14,2007-07-27,3.04,170.59,"Kalamalka"
"230","3075","CC","33",2007-05-11,2007-05-09,2007-05-14,2007-05-14,2007-07-23,3.42,253.96,"Kalamalka"
"230","3078","W","21",2007-05-10,2007-05-08,2007-05-13,2007-05-13,2007-07-27,4.23,178.04,"Kalamalka"
"230","3102","O","50",2007-05-10,2007-05-08,2007-05-13,2007-05-13,2007-07-23,6.32,229.73,"Kalamalka"
"230","3105","E","13",2007-05-10,2007-05-08,2007-05-13,2007-05-13,2007-07-27,5.75,253.93,"Kalamalka"
"230","3106","GG","19",2007-05-13,2007-05-11,2007-05-16,2007-05-16,2007-07-24,4.5,209.67,"Kalamalka"
"230","3118","A","30",2007-05-13,2007-05-11,2007-05-16,2007-05-16,2007-07-27,6.26,192.84,"Kalamalka"
"230","3126","P","65",2007-05-10,2007-05-08,2007-05-13,2007-05-13,2007-07-23,3.84,256.58,"Kalamalka"
"230","3140","L","14",2007-05-06,2007-05-04,2007-05-09,2007-05-09,2007-07-23,2.85,176.91,"Kalamalka"
"230","3156","X","6",2007-05-11,2007-05-09,2007-05-14,2007-05-14,2007-07-27,4.91,200.58,"Kalamalka"
"230","3157","F","21",2007-05-11,2007-05-09,2007-05-14,2007-05-14,2007-07-27,11.44,230.32,"Kalamalka"
"230","3172","Q","14",2007-05-06,2007-05-04,2007-05-09,2007-05-09,2007-07-27,9.8,334.65,"Kalamalka"
"307","937","R","2",2007-05-16,2007-05-14,2007-05-18,2007-05-18,2007-07-19,5.1,235.53,"Kalamalka"
"307","946","E","3",2007-05-14,2007-05-14,2007-05-16,2007-05-19,2007-08-09,7.39,218.17,"Kalamalka"
"307","1503","JJ","33",2007-05-11,2007-05-08,2007-05-14,2007-05-13,2007-08-08,3.45,203.65,"Kalamalka"
"307","1507","L","10",2007-05-13,2007-05-14,2007-05-16,2007-05-19,2007-08-09,8.24,236.85,"Kalamalka"
"307","1514","I","34",2007-05-16,2007-05-15,2007-05-18,2007-05-18,2007-07-20,5.24,197.33,"Kalamalka"
"307","1515","M","14",2007-05-10,2007-05-12,2007-05-13,2007-05-16,2007-08-09,0.56,185.49,"Kalamalka"
"307","1519","V","25",2007-05-13,2007-05-13,2007-05-15,2007-05-19,2007-08-09,7.28,285.29,"Kalamalka"
"307","1524","TT","27",2007-05-17,2007-05-16,2007-05-18,2007-05-20,2007-07-19,1.8,149.31,"Kalamalka"
"307","1529","CC","34",2007-05-13,2007-05-13,2007-05-16,2007-05-18,2007-08-08,3.19,206.1,"Kalamalka"
"307","1531","C","28",2007-05-12,2007-05-12,2007-05-15,2007-05-16,2007-07-23,5.76,254.39,"Kalamalka"
"307","1532","F","8",2007-05-10,2007-05-08,2007-05-13,2007-05-13,2007-08-09,3.44,294.99,"Kalamalka"
"307","1536","X","14",2007-05-13,2007-05-13,2007-05-16,2007-05-18,2007-08-09,0.69,171.5,"Kalamalka"
"307","1538","AA","16",2007-05-14,2007-05-15,2007-05-16,2007-05-19,2007-08-09,9.85,333.93,"Kalamalka"
"307","1539","J","17",2007-05-12,2007-05-12,2007-05-14,2007-05-16,2007-07-23,0.4,47,"Kalamalka"
"307","1540","BB","5",2007-05-10,2007-05-09,2007-05-13,2007-05-14,2007-08-09,14.65,295.52,"Kalamalka"
"230","1460","N","18",2008-05-17,2008-05-16,2008-05-18,2008-05-20,2008-08-14,3.29,212.95,"Kalamalka"
"230","1467","J","5",2008-05-16,2008-05-16,2008-05-17,2008-05-21,2008-07-28,4.51,254.87,"Kalamalka"
"230","1536","F","44",2008-05-18,2008-05-17,2008-05-19,2008-05-22,2008-08-13,2.47,192.46,"Kalamalka"
"230","3044","V","53",2008-05-16,2008-05-17,2008-05-17,2008-05-23,2008-08-08,1.04,210.46,"Kalamalka"
"230","3075","CC","33",2008-05-17,2008-05-16,2008-05-19,2008-05-22,2008-07-28,2.28,188.45,"Kalamalka"
"230","3078","W","21",2008-05-18,2008-05-17,2008-05-19,2008-05-21,2008-08-08,3.8,202.67,"Kalamalka"
"230","3102","O","50",2008-05-17,2008-05-16,2008-05-18,2008-05-21,2008-08-05,3.14,219.28,"Kalamalka"
"230","3105","E","13",2008-05-17,2008-05-19,2008-05-19,2008-05-22,2008-08-13,5.75,255.08,"Kalamalka"
