"Orchard","Year","Sex","Clone","Tree","X","Y","Month","Day","Phenophase","Page"
"220",1997,"FEMALE",980,28,"D",47,5,28,"4",4
"220",1997,"FEMALE",980,28,"D",47,5,30,"4",4
"220",1997,"FEMALE",980,28,"D",47,6,2,"4",4
"220",1997,"FEMALE",980,28,"D",47,6,4,"-",4
"220",1997,"FEMALE",980,28,"D",47,6,6,"-",4
"220",1997,"FEMALE",980,28,"D",47,6,8,"-",4
"220",1997,"FEMALE",980,28,"D",47,6,10,"-",4
"220",1997,"FEMALE",980,28,"D",47,6,12,"-",4
"220",1997,"FEMALE",980,36,"Z",45,5,28,"4",4
"220",1997,"FEMALE",980,36,"Z",45,5,30,"4",4
"220",1997,"FEMALE",980,36,"Z",45,6,2,"4",4
"220",1997,"FEMALE",980,36,"Z",45,6,4,"4",4
"220",1997,"FEMALE",980,36,"Z",45,6,6,"-",4
"220",1997,"FEMALE",980,36,"Z",45,6,8,"-",4
"220",1997,"FEMALE",980,36,"Z",45,6,10,"-",4
"220",1997,"FEMALE",980,36,"Z",45,6,12,"-",4
"220",1997,"FEMALE",985,10,"Y",6,5,28,"-",4
"220",1997,"FEMALE",985,10,"Y",6,5,30,"4",4
"220",1997,"FEMALE",985,10,"Y",6,6,2,"4",4
"220",1997,"FEMALE",985,10,"Y",6,6,4,"4",4
"220",1997,"FEMALE",985,10,"Y",6,6,6,"4",4
"220",1997,"FEMALE",985,10,"Y",6,6,8,"-",4
"220",1997,"FEMALE",985,10,"Y",6,6,10,"-",4
"220",1997,"FEMALE",985,10,"Y",6,6,12,"-",4
"220",1997,"FEMALE",985,35,"V",47,5,28,"-",4
"220",1997,"FEMALE",985,35,"V",47,5,30,"4",4
"220",1997,"FEMALE",985,35,"V",47,6,2,"4",4
"220",1997,"FEMALE",985,35,"V",47,6,4,"4",4
"220",1997,"FEMALE",985,35,"V",47,6,6,"-",4
"220",1997,"FEMALE",985,35,"V",47,6,8,"-",4
"220",1997,"FEMALE",985,35,"V",47,6,10,"-",4
"220",1997,"FEMALE",985,35,"V",47,6,12,"-",4
"220",1997,"FEMALE",985,36,"Z",48,5,28,"4",4
"220",1997,"FEMALE",985,36,"Z",48,5,30,"4",4
"220",1997,"FEMALE",985,36,"Z",48,6,2,"4",4
"220",1997,"FEMALE",985,36,"Z",48,6,4,"4",4
"220",1997,"FEMALE",985,36,"Z",48,6,6,"-",4
"220",1997,"FEMALE",985,36,"Z",48,6,8,"-",4
"220",1997,"FEMALE",985,36,"Z",48,6,10,"-",4
"220",1997,"FEMALE",985,36,"Z",48,6,12,"-",4
"220",1997,"FEMALE",988,31,"L",47,5,28,"-",4
"220",1997,"FEMALE",988,31,"L",47,5,30,"4",4
"220",1997,"FEMALE",988,31,"L",47,6,2,"4",4
"220",1997,"FEMALE",988,31,"L",47,6,4,"4",4
"220",1997,"FEMALE",988,31,"L",47,6,6,"4",4
"220",1997,"FEMALE",988,31,"L",47,6,8,"4",4
"220",1997,"FEMALE",988,31,"L",47,6,10,"-",4
"220",1997,"FEMALE",988,31,"L",47,6,12,"-",4
"220",1997,"FEMALE",988,36,"V",46,5,28,"4",4
"220",1997,"FEMALE",988,36,"V",46,5,30,"4",4
"220",1997,"FEMALE",988,36,"V",46,6,2,"4",4
"220",1997,"FEMALE",988,36,"V",46,6,4,"4",4
"220",1997,"FEMALE",988,36,"V",46,6,6,"4",4
