Year,Sex,Clone,Tree,X,Y,Month,Day,Phenophase,Page
1999,FEMALE,1464,,C,12,5,31,-,
1999,FEMALE,1464,,C,12,6,3,-,
1999,FEMALE,1464,,C,12,6,5,-,
1999,FEMALE,1464,,C,12,6,7,-,
1999,FEMALE,1464,,C,12,6,9,-,
1999,FEMALE,1464,,C,12,6,11,4,
1999,FEMALE,1464,,C,12,6,13,4,
1999,FEMALE,1464,,C,12,6,15,4,
1999,FEMALE,1464,,C,12,6,17,4,
1999,FEMALE,1464,,C,12,6,19,-,
1999,FEMALE,1464,,C,12,6,21,-,
1999,MALE,1464,,C,12,5,31,4,
1999,MALE,1464,,C,12,6,3,4,
1999,MALE,1464,,C,12,6,5,4,
1999,MALE,1464,,C,12,6,7,4,
1999,MALE,1464,,C,12,6,9,4,
1999,MALE,1464,,C,12,6,11,4,
1999,MALE,1464,,C,12,6,13,4,
1999,MALE,1464,,C,12,6,15,4,
1999,MALE,1464,,C,12,6,17,-,
1999,MALE,1464,,C,12,6,19,-,
1999,MALE,1464,,C,12,6,21,-,
1999,FEMALE,1464,,D,44,5,31,-,
1999,FEMALE,1464,,D,44,6,3,-,
1999,FEMALE,1464,,D,44,6,5,-,
1999,FEMALE,1464,,D,44,6,7,-,
1999,FEMALE,1464,,D,44,6,9,-,
1999,FEMALE,1464,,D,44,6,11,4,
1999,FEMALE,1464,,D,44,6,13,4,
1999,FEMALE,1464,,D,44,6,15,4,
1999,FEMALE,1464,,D,44,6,17,4,
1999,FEMALE,1464,,D,44,6,19,-,
1999,FEMALE,1464,,D,44,6,21,-,
1999,MALE,1464,,D,44,5,31,-,
1999,MALE,1464,,D,44,6,3,-,
1999,MALE,1464,,D,44,6,5,4,
1999,MALE,1464,,D,44,6,7,4,
1999,MALE,1464,,D,44,6,9,4,
1999,MALE,1464,,D,44,6,11,4,
1999,MALE,1464,,D,44,6,13,4,
1999,MALE,1464,,D,44,6,15,4,
1999,MALE,1464,,D,44,6,17,4,
1999,MALE,1464,,D,44,6,19,-,
1999,MALE,1464,,D,44,6,21,-,
