X,Y,Clone,Tree
G,11,1486,2
H,7,1483,3
I,15,1489,4
K,23,1486,16
J,5,1541,3
M,1,1563,6
N,1,1468,6
O,2,1476,6
P,14,1483,9
Q,2,1482,6
T,3,1490,7
U,6,1473,12
V,13,1501,13
W,15,1485,15
X,7,1490,13
Y,3,1482,11
Z,1,1471,11
BB,11,1530,13
CC,4,1471,13
DD,9,1501,12
H,15,1477,3
J,12,1541,4
J,19,1563,5
N,2,1480,6
N,6,1480,8
O,8,1558,8
O,16,1468,10
Q,3,1469,7
Q,8,1485,8
Q,26,1477,17
Q,4,1476,7
Q,6,1558,7
Q,9,1487,8
Q,11,1470,8
Q,17,1487,10
T,5,1469,9
U,14,1474,12
W,16,1473,15
W,19,1474,14
X,14,1470,15
X,18,1489,15
DD,17,1530,15
