Year,Sex,Clone,Tree,X,Y,Month,Day,Phenophase,Page
1999,FEMALE,1479,,F,15,6,17,4,10
1999,FEMALE,1479,,F,15,6,19,4,10
1999,FEMALE,1479,,F,15,6,21,4,10
1999,MALE,1479,,F,15,6,17,0,10
1999,MALE,1479,,F,15,6,19,0,10
1999,MALE,1479,,F,15,6,21,-,10
1999,FEMALE,1479,,V,15,6,17,4,10
1999,FEMALE,1479,,V,15,6,19,4,10
1999,FEMALE,1479,,V,15,6,21,4,10
1999,MALE,1479,,V,15,6,17,0,10
1999,MALE,1479,,V,15,6,19,0,10
1999,FEMALE,1478,,U,24,6,17,4,10
1999,FEMALE,1478,,U,24,6,19,4,10
1999,FEMALE,1478,,U,24,6,21,4,10
1999,MALE,1478,,U,24,6,17,0,10
1999,MALE,1478,,U,24,6,19,0,10
1999,MALE,1478,,U,24,6,21,-,10
1999,FEMALE,1582,,V,25,6,17,4,10
1999,FEMALE,1582,,V,25,6,19,4,10
1999,FEMALE,1582,,V,25,6,21,4,10
1999,MALE,1582,,V,25,6,17,0,10
1999,MALE,1582,,V,25,6,19,0,10
1999,MALE,1582,,V,25,6,21,-,10
1999,FEMALE,1582,,H,23,6,17,4,10
1999,FEMALE,1582,,H,23,6,19,4,10
1999,FEMALE,1582,,H,23,6,21,-,10
1999,MALE,1582,,H,23,6,17,-,10
1999,MALE,1582,,H,23,6,19,-,10
1999,MALE,1582,,H,23,6,21,-,10
1999,FEMALE,1484,,P,20,6,17,4,10
1999,FEMALE,1484,,P,20,6,19,4,10
1999,FEMALE,1484,,P,20,6,21,4,10
1999,MALE,1484,,P,20,6,17,-,10
1999,MALE,1484,,P,20,6,19,-,10
1999,MALE,1484,,P,20,6,21,-,10
1999,FEMALE,984,,D,32,6,17,4,10
1999,FEMALE,984,,D,32,6,19,4,10
1999,FEMALE,984,,D,32,6,21,-,10
1999,MALE,984,,D,32,6,17,-,10
1999,MALE,984,,D,32,6,19,-,10
1999,MALE,984,,D,32,6,21,-,10
1999,FEMALE,1484,,R,32,6,17,4,10
1999,FEMALE,1484,,R,32,6,19,4,10
1999,FEMALE,1484,,R,32,6,21,4,10
1999,MALE,1484,,R,32,6,17,-,10
1999,MALE,1484,,R,32,6,19,-,10
1999,MALE,1484,,R,32,6,21,-,10
1999,FEMALE,1488,,F,36,6,17,4,10
1999,FEMALE,1488,,F,36,6,19,4,10
1999,FEMALE,1488,,F,36,6,21,-,10
1999,MALE,1488,,F,36,6,17,4,10
1999,MALE,1488,,F,36,6,19,-,10
1999,MALE,1488,,F,36,6,21,-,10
1999,FEMALE,1479,,DD,41,6,17,4,10
1999,FEMALE,1479,,DD,41,6,19,-,10
1999,FEMALE,1479,,DD,41,6,21,-,10
1999,MALE,1479,,DD,41,6,17,-,10
1999,MALE,1479,,DD,41,6,19,-,10
1999,MALE,1479,,DD,41,6,21,-,10
1999,FEMALE,1475,,T,41,6,17,4,10
1999,FEMALE,1475,,T,41,6,19,4,10
1999,FEMALE,1475,,T,41,6,21,-,10
1999,MALE,1475,,T,41,6,17,-,10
1999,MALE,1475,,T,41,6,19,-,10
1999,MALE,1475,,T,41,6,21,-,10
1999,FEMALE,1475,,B,42,6,17,4,10
1999,FEMALE,1475,,B,42,6,19,-,10
1999,FEMALE,1475,,B,42,6,21,-,10
1999,MALE,1475,,B,42,6,17,4,10
1999,MALE,1475,,B,42,6,19,-,10
1999,MALE,1475,,B,42,6,21,-,10
1999,FEMALE,1488,,Y,42,6,17,4,10
1999,FEMALE,1488,,Y,42,6,19,4,10
1999,FEMALE,1488,,Y,42,6,21,-,10
1999,MALE,1488,,Y,42,6,17,-,10
1999,MALE,1488,,Y,42,6,19,-,10
1999,MALE,1488,,Y,42,6,21,-,10
1999,FEMALE,984,,E,43,6,17,4,10
1999,FEMALE,984,,E,43,6,19,4,10
1999,FEMALE,984,,E,43,6,21,4,10
1999,MALE,984,,E,43,6,17,4,10
1999,MALE,984,,E,43,6,19,4,10
1999,MALE,984,,E,43,6,21,4,10
1999,FEMALE,984,,E,43,6,23,-,10
1999,FEMALE,1481,,X,43,6,17,-,10
1999,FEMALE,1481,,X,43,6,19,-,10
1999,MALE,1481,,X,43,6,17,-,10
1999,MALE,1481,,X,43,6,19,-,10
1999,FEMALE,1472,,AA,41,6,17,4,10
1999,FEMALE,1472,,AA,41,6,19,-,10
1999,FEMALE,1472,,AA,41,6,21,-,10
1999,MALE,1472,,AA,41,6,17,4,10
1999,MALE,1472,,AA,41,6,19,-,10
1999,MALE,1472,,AA,41,6,21,-,10
1999,FEMALE,1481,,BB,44,6,17,-,10
1999,FEMALE,1481,,BB,44,6,19,-,10
1999,FEMALE,1481,,BB,44,6,21,-,10
1999,MALE,1481,,BB,44,6,17,-,10
1999,MALE,1481,,BB,44,6,19,-,10
1999,MALE,1481,,BB,44,6,21,-,10
1999,FEMALE,1472,,F,46,6,17,4,10
1999,FEMALE,1472,,F,46,6,19,-,10
1999,FEMALE,1472,,F,46,6,21,-,10
1999,MALE,1472,,F,46,6,17,4,10
1999,MALE,1472,,F,46,6,19,-,10
1999,MALE,1472,,F,46,6,21,-,10
