Orchard,Year,Page,Action
220,1997,2,Replace
220,1997,4,Replace
220,1998,6,Replace
220,1998,8,Replace
220,1999,10,Remove
220,2005,24,Remove
220,2005,25,Remove
220,2006,27,Remove
220,2006,28,Remove
220,2007,30,Replace
220,2007,31,Replace
220,2010,39,Replace
220,2010,40,Replace
220,2011,42,Remove
220,2011,43,Remove
220,2012,45,Nothing
223,1999,2,Nothing
223,1999,4,Nothing
223,2005,22,Remove
223,2011,42,Remove
223,2011,43,Remove
223,2012,46,Remove
223,2012,47,Remove
228,1997,2,Nothing
228,1997,3,Nothing
228,1997,8,Nothing
228,1997,9,Nothing
228,1998,5,Nothing
228,1998,6,Nothing
228,1998,11,Nothing
228,1998,12,Nothing
228,2005,30,Remove
228,2005,31,Remove
228,2006,33,Remove
228,2006,34,Remove
228,2009,42,Replace
228,2009,44,Replace
223,2007,28,Remove
