"Index","DoY","Phenophase","Sex","Year","Site","Orchard","Clone","Tree","X","Y","Date","Source"
343,148,"4","FEMALE",1997,"PGTIS",220,980,28,"D",47,"1997-5-28","Rita Wagner"
343,150,"4","FEMALE",1997,"PGTIS",220,980,28,"D",47,"1997-5-30","Rita Wagner"
343,153,"4","FEMALE",1997,"PGTIS",220,980,28,"D",47,"1997-6-2","Rita Wagner"
343,155,"-","FEMALE",1997,"PGTIS",220,980,28,"D",47,"1997-6-4","Rita Wagner"
343,157,"-","FEMALE",1997,"PGTIS",220,980,28,"D",47,"1997-6-6","Rita Wagner"
343,159,"-","FEMALE",1997,"PGTIS",220,980,28,"D",47,"1997-6-8","Rita Wagner"
343,161,"-","FEMALE",1997,"PGTIS",220,980,28,"D",47,"1997-6-10","Rita Wagner"
343,163,"-","FEMALE",1997,"PGTIS",220,980,28,"D",47,"1997-6-12","Rita Wagner"
361,148,"4","FEMALE",1997,"PGTIS",220,980,36,"Z",45,"1997-5-28","Rita Wagner"
361,150,"4","FEMALE",1997,"PGTIS",220,980,36,"Z",45,"1997-5-30","Rita Wagner"
361,153,"4","FEMALE",1997,"PGTIS",220,980,36,"Z",45,"1997-6-2","Rita Wagner"
361,155,"4","FEMALE",1997,"PGTIS",220,980,36,"Z",45,"1997-6-4","Rita Wagner"
361,157,"-","FEMALE",1997,"PGTIS",220,980,36,"Z",45,"1997-6-6","Rita Wagner"
361,159,"-","FEMALE",1997,"PGTIS",220,980,36,"Z",45,"1997-6-8","Rita Wagner"
361,161,"-","FEMALE",1997,"PGTIS",220,980,36,"Z",45,"1997-6-10","Rita Wagner"
361,163,"-","FEMALE",1997,"PGTIS",220,980,36,"Z",45,"1997-6-12","Rita Wagner"
303,148,"-","FEMALE",1997,"PGTIS",220,985,10,"Y",6,"1997-5-28","Rita Wagner"
303,150,"4","FEMALE",1997,"PGTIS",220,985,10,"Y",6,"1997-5-30","Rita Wagner"
303,153,"4","FEMALE",1997,"PGTIS",220,985,10,"Y",6,"1997-6-2","Rita Wagner"
303,155,"4","FEMALE",1997,"PGTIS",220,985,10,"Y",6,"1997-6-4","Rita Wagner"
303,157,"4","FEMALE",1997,"PGTIS",220,985,10,"Y",6,"1997-6-6","Rita Wagner"
303,159,"-","FEMALE",1997,"PGTIS",220,985,10,"Y",6,"1997-6-8","Rita Wagner"
303,161,"-","FEMALE",1997,"PGTIS",220,985,10,"Y",6,"1997-6-10","Rita Wagner"
303,163,"-","FEMALE",1997,"PGTIS",220,985,10,"Y",6,"1997-6-12","Rita Wagner"
359,148,"-","FEMALE",1997,"PGTIS",220,985,35,"V",47,"1997-5-28","Rita Wagner"
359,150,"4","FEMALE",1997,"PGTIS",220,985,35,"V",47,"1997-5-30","Rita Wagner"
359,153,"4","FEMALE",1997,"PGTIS",220,985,35,"V",47,"1997-6-2","Rita Wagner"
359,155,"4","FEMALE",1997,"PGTIS",220,985,35,"V",47,"1997-6-4","Rita Wagner"
359,157,"-","FEMALE",1997,"PGTIS",220,985,35,"V",47,"1997-6-6","Rita Wagner"
359,159,"-","FEMALE",1997,"PGTIS",220,985,35,"V",47,"1997-6-8","Rita Wagner"
359,161,"-","FEMALE",1997,"PGTIS",220,985,35,"V",47,"1997-6-10","Rita Wagner"
