Index,State,Year,DoY,Event_Label,Event_Obs,Date,Sex,Site,Orchard,Genotype,Tree,X,Y,Source
1,1,2006,125,before_flowering,1,2006-05-05,FEMALE,Kalamalka,230,1460,NA,N,18,Chris Walsh
1,2,2006,126,first_flowering,2,2006-05-06,FEMALE,Kalamalka,230,1460,NA,N,18,Chris Walsh
1,2,2006,127,last_flowering,3,2006-05-07,FEMALE,Kalamalka,230,1460,NA,N,18,Chris Walsh
1,3,2006,128,past_flowering,4,2006-05-08,FEMALE,Kalamalka,230,1460,NA,N,18,Chris Walsh
2,1,2006,124,before_flowering,1,2006-05-04,FEMALE,Kalamalka,230,1467,NA,J,5,Chris Walsh
2,2,2006,125,first_flowering,2,2006-05-05,FEMALE,Kalamalka,230,1467,NA,J,5,Chris Walsh
2,2,2006,127,last_flowering,3,2006-05-07,FEMALE,Kalamalka,230,1467,NA,J,5,Chris Walsh
2,3,2006,128,past_flowering,4,2006-05-08,FEMALE,Kalamalka,230,1467,NA,J,5,Chris Walsh
3,1,2006,125,before_flowering,1,2006-05-05,FEMALE,Kalamalka,230,1536,NA,F,44,Chris Walsh
3,2,2006,126,first_flowering,2,2006-05-06,FEMALE,Kalamalka,230,1536,NA,F,44,Chris Walsh
3,2,2006,128,last_flowering,3,2006-05-08,FEMALE,Kalamalka,230,1536,NA,F,44,Chris Walsh
3,3,2006,130,past_flowering,4,2006-05-10,FEMALE,Kalamalka,230,1536,NA,F,44,Chris Walsh
4,1,2006,130,before_flowering,1,2006-05-10,FEMALE,Kalamalka,230,3044,NA,V,53,Chris Walsh
4,2,2006,131,first_flowering,2,2006-05-11,FEMALE,Kalamalka,230,3044,NA,V,53,Chris Walsh
4,2,2006,131,last_flowering,3,2006-05-11,FEMALE,Kalamalka,230,3044,NA,V,53,Chris Walsh
4,3,2006,132,past_flowering,4,2006-05-12,FEMALE,Kalamalka,230,3044,NA,V,53,Chris Walsh
5,1,2006,128,before_flowering,1,2006-05-08,FEMALE,Kalamalka,230,3075,NA,CC,33,Chris Walsh
5,2,2006,130,first_flowering,2,2006-05-10,FEMALE,Kalamalka,230,3075,NA,CC,33,Chris Walsh
5,2,2006,131,last_flowering,3,2006-05-11,FEMALE,Kalamalka,230,3075,NA,CC,33,Chris Walsh
5,3,2006,132,past_flowering,4,2006-05-12,FEMALE,Kalamalka,230,3075,NA,CC,33,Chris Walsh
6,1,2006,128,before_flowering,1,2006-05-08,FEMALE,Kalamalka,230,3078,NA,W,21,Chris Walsh
6,2,2006,130,first_flowering,2,2006-05-10,FEMALE,Kalamalka,230,3078,NA,W,21,Chris Walsh
6,2,2006,132,last_flowering,3,2006-05-12,FEMALE,Kalamalka,230,3078,NA,W,21,Chris Walsh
6,3,2006,133,past_flowering,4,2006-05-13,FEMALE,Kalamalka,230,3078,NA,W,21,Chris Walsh
7,1,2006,127,before_flowering,1,2006-05-07,FEMALE,Kalamalka,230,3102,NA,O,50,Chris Walsh
7,2,2006,128,first_flowering,2,2006-05-08,FEMALE,Kalamalka,230,3102,NA,O,50,Chris Walsh
7,2,2006,128,last_flowering,3,2006-05-08,FEMALE,Kalamalka,230,3102,NA,O,50,Chris Walsh
7,3,2006,130,past_flowering,4,2006-05-10,FEMALE,Kalamalka,230,3102,NA,O,50,Chris Walsh
8,1,2006,127,before_flowering,1,2006-05-07,FEMALE,Kalamalka,230,3105,NA,E,13,Chris Walsh
8,2,2006,128,first_flowering,2,2006-05-08,FEMALE,Kalamalka,230,3105,NA,E,13,Chris Walsh
8,2,2006,128,last_flowering,3,2006-05-08,FEMALE,Kalamalka,230,3105,NA,E,13,Chris Walsh
8,3,2006,130,past_flowering,4,2006-05-10,FEMALE,Kalamalka,230,3105,NA,E,13,Chris Walsh
9,1,2006,131,before_flowering,1,2006-05-11,FEMALE,Kalamalka,230,3106,NA,GG,19,Chris Walsh
9,2,2006,132,first_flowering,2,2006-05-12,FEMALE,Kalamalka,230,3106,NA,GG,19,Chris Walsh
9,2,2006,133,last_flowering,3,2006-05-13,FEMALE,Kalamalka,230,3106,NA,GG,19,Chris Walsh
9,3,2006,134,past_flowering,4,2006-05-14,FEMALE,Kalamalka,230,3106,NA,GG,19,Chris Walsh
10,1,2006,127,before_flowering,1,2006-05-07,FEMALE,Kalamalka,230,3118,NA,A,30,Chris Walsh
10,2,2006,128,first_flowering,2,2006-05-08,FEMALE,Kalamalka,230,3118,NA,A,30,Chris Walsh
10,2,2006,128,last_flowering,3,2006-05-08,FEMALE,Kalamalka,230,3118,NA,A,30,Chris Walsh
10,3,2006,130,past_flowering,4,2006-05-10,FEMALE,Kalamalka,230,3118,NA,A,30,Chris Walsh
11,2,2006,123,first_flowering,2,2006-05-03,FEMALE,Kalamalka,230,3126,NA,P,65,Chris Walsh
11,2,2006,124,last_flowering,3,2006-05-04,FEMALE,Kalamalka,230,3126,NA,P,65,Chris Walsh
11,3,2006,125,past_flowering,4,2006-05-05,FEMALE,Kalamalka,230,3126,NA,P,65,Chris Walsh
12,1,2006,128,before_flowering,1,2006-05-08,FEMALE,Kalamalka,230,3140,NA,L,14,Chris Walsh
12,2,2006,130,first_flowering,2,2006-05-10,FEMALE,Kalamalka,230,3140,NA,L,14,Chris Walsh
12,2,2006,130,last_flowering,3,2006-05-10,FEMALE,Kalamalka,230,3140,NA,L,14,Chris Walsh
12,3,2006,131,past_flowering,4,2006-05-11,FEMALE,Kalamalka,230,3140,NA,L,14,Chris Walsh
13,1,2006,132,before_flowering,1,2006-05-12,FEMALE,Kalamalka,230,3156,NA,X,6,Chris Walsh
13,2,2006,133,first_flowering,2,2006-05-13,FEMALE,Kalamalka,230,3156,NA,X,6,Chris Walsh
13,2,2006,134,last_flowering,3,2006-05-14,FEMALE,Kalamalka,230,3156,NA,X,6,Chris Walsh
13,3,2006,135,past_flowering,4,2006-05-15,FEMALE,Kalamalka,230,3156,NA,X,6,Chris Walsh
14,1,2006,130,before_flowering,1,2006-05-10,FEMALE,Kalamalka,230,3157,NA,F,21,Chris Walsh
14,2,2006,131,first_flowering,2,2006-05-11,FEMALE,Kalamalka,230,3157,NA,F,21,Chris Walsh
14,2,2006,133,last_flowering,3,2006-05-13,FEMALE,Kalamalka,230,3157,NA,F,21,Chris Walsh
14,3,2006,134,past_flowering,4,2006-05-14,FEMALE,Kalamalka,230,3157,NA,F,21,Chris Walsh
