Index,DoY,Date,Phenophase_Recorded,State,Sex,Year,Site,Orchard,Genotype,Tree,X,Y,Source
343,148,1997-05-28,4,2,FEMALE,1997,PGTIS,220,980,28,D,47,Rita Wagner
343,150,1997-05-30,4,2,FEMALE,1997,PGTIS,220,980,28,D,47,Rita Wagner
343,153,1997-06-02,4,2,FEMALE,1997,PGTIS,220,980,28,D,47,Rita Wagner
343,155,1997-06-04,-,3,FEMALE,1997,PGTIS,220,980,28,D,47,Rita Wagner
343,157,1997-06-06,-,3,FEMALE,1997,PGTIS,220,980,28,D,47,Rita Wagner
343,159,1997-06-08,-,3,FEMALE,1997,PGTIS,220,980,28,D,47,Rita Wagner
343,161,1997-06-10,-,3,FEMALE,1997,PGTIS,220,980,28,D,47,Rita Wagner
343,163,1997-06-12,-,3,FEMALE,1997,PGTIS,220,980,28,D,47,Rita Wagner
361,148,1997-05-28,4,2,FEMALE,1997,PGTIS,220,980,36,Z,45,Rita Wagner
361,150,1997-05-30,4,2,FEMALE,1997,PGTIS,220,980,36,Z,45,Rita Wagner
361,153,1997-06-02,4,2,FEMALE,1997,PGTIS,220,980,36,Z,45,Rita Wagner
361,155,1997-06-04,4,2,FEMALE,1997,PGTIS,220,980,36,Z,45,Rita Wagner
361,157,1997-06-06,-,3,FEMALE,1997,PGTIS,220,980,36,Z,45,Rita Wagner
361,159,1997-06-08,-,3,FEMALE,1997,PGTIS,220,980,36,Z,45,Rita Wagner
361,161,1997-06-10,-,3,FEMALE,1997,PGTIS,220,980,36,Z,45,Rita Wagner
361,163,1997-06-12,-,3,FEMALE,1997,PGTIS,220,980,36,Z,45,Rita Wagner
303,148,1997-05-28,-,1,FEMALE,1997,PGTIS,220,985,10,Y,6,Rita Wagner
303,150,1997-05-30,4,2,FEMALE,1997,PGTIS,220,985,10,Y,6,Rita Wagner
303,153,1997-06-02,4,2,FEMALE,1997,PGTIS,220,985,10,Y,6,Rita Wagner
303,155,1997-06-04,4,2,FEMALE,1997,PGTIS,220,985,10,Y,6,Rita Wagner
303,157,1997-06-06,4,2,FEMALE,1997,PGTIS,220,985,10,Y,6,Rita Wagner
303,159,1997-06-08,-,3,FEMALE,1997,PGTIS,220,985,10,Y,6,Rita Wagner
303,161,1997-06-10,-,3,FEMALE,1997,PGTIS,220,985,10,Y,6,Rita Wagner
303,163,1997-06-12,-,3,FEMALE,1997,PGTIS,220,985,10,Y,6,Rita Wagner
359,148,1997-05-28,-,1,FEMALE,1997,PGTIS,220,985,35,V,47,Rita Wagner
359,150,1997-05-30,4,2,FEMALE,1997,PGTIS,220,985,35,V,47,Rita Wagner
359,153,1997-06-02,4,2,FEMALE,1997,PGTIS,220,985,35,V,47,Rita Wagner
359,155,1997-06-04,4,2,FEMALE,1997,PGTIS,220,985,35,V,47,Rita Wagner
359,157,1997-06-06,-,3,FEMALE,1997,PGTIS,220,985,35,V,47,Rita Wagner
359,159,1997-06-08,-,3,FEMALE,1997,PGTIS,220,985,35,V,47,Rita Wagner
359,161,1997-06-10,-,3,FEMALE,1997,PGTIS,220,985,35,V,47,Rita Wagner
359,163,1997-06-12,-,3,FEMALE,1997,PGTIS,220,985,35,V,47,Rita Wagner
362,148,1997-05-28,4,2,FEMALE,1997,PGTIS,220,985,36,Z,48,Rita Wagner
362,150,1997-05-30,4,2,FEMALE,1997,PGTIS,220,985,36,Z,48,Rita Wagner
362,153,1997-06-02,4,2,FEMALE,1997,PGTIS,220,985,36,Z,48,Rita Wagner
362,155,1997-06-04,4,2,FEMALE,1997,PGTIS,220,985,36,Z,48,Rita Wagner
362,157,1997-06-06,-,3,FEMALE,1997,PGTIS,220,985,36,Z,48,Rita Wagner
362,159,1997-06-08,-,3,FEMALE,1997,PGTIS,220,985,36,Z,48,Rita Wagner
362,161,1997-06-10,-,3,FEMALE,1997,PGTIS,220,985,36,Z,48,Rita Wagner
362,163,1997-06-12,-,3,FEMALE,1997,PGTIS,220,985,36,Z,48,Rita Wagner
351,148,1997-05-28,-,1,FEMALE,1997,PGTIS,220,988,31,L,47,Rita Wagner
351,150,1997-05-30,4,2,FEMALE,1997,PGTIS,220,988,31,L,47,Rita Wagner
351,153,1997-06-02,4,2,FEMALE,1997,PGTIS,220,988,31,L,47,Rita Wagner
351,155,1997-06-04,4,2,FEMALE,1997,PGTIS,220,988,31,L,47,Rita Wagner
351,157,1997-06-06,4,2,FEMALE,1997,PGTIS,220,988,31,L,47,Rita Wagner
351,159,1997-06-08,4,2,FEMALE,1997,PGTIS,220,988,31,L,47,Rita Wagner
351,161,1997-06-10,-,3,FEMALE,1997,PGTIS,220,988,31,L,47,Rita Wagner
351,163,1997-06-12,-,3,FEMALE,1997,PGTIS,220,988,31,L,47,Rita Wagner
363,148,1997-05-28,4,2,FEMALE,1997,PGTIS,220,988,36,V,46,Rita Wagner
363,150,1997-05-30,4,2,FEMALE,1997,PGTIS,220,988,36,V,46,Rita Wagner
363,153,1997-06-02,4,2,FEMALE,1997,PGTIS,220,988,36,V,46,Rita Wagner
363,155,1997-06-04,4,2,FEMALE,1997,PGTIS,220,988,36,V,46,Rita Wagner
363,157,1997-06-06,4,2,FEMALE,1997,PGTIS,220,988,36,V,46,Rita Wagner
363,159,1997-06-08,4,2,FEMALE,1997,PGTIS,220,988,36,V,46,Rita Wagner
363,161,1997-06-10,-,3,FEMALE,1997,PGTIS,220,988,36,V,46,Rita Wagner
363,163,1997-06-12,-,3,FEMALE,1997,PGTIS,220,988,36,V,46,Rita Wagner
301,148,1997-05-28,-,1,FEMALE,1997,PGTIS,220,1502,7,N,10,Rita Wagner
301,150,1997-05-30,-,1,FEMALE,1997,PGTIS,220,1502,7,N,10,Rita Wagner
301,153,1997-06-02,4,2,FEMALE,1997,PGTIS,220,1502,7,N,10,Rita Wagner
301,155,1997-06-04,4,2,FEMALE,1997,PGTIS,220,1502,7,N,10,Rita Wagner
301,157,1997-06-06,4,2,FEMALE,1997,PGTIS,220,1502,7,N,10,Rita Wagner
301,159,1997-06-08,4,2,FEMALE,1997,PGTIS,220,1502,7,N,10,Rita Wagner
301,161,1997-06-10,-,3,FEMALE,1997,PGTIS,220,1502,7,N,10,Rita Wagner
